com.samsung.health.respiratory_rate,6307003,2
create_sh_ver,start_time,custom,binning_data,modify_sh_ver,average,lower_limit,update_time,create_time,client_data_id,upper_limit,client_data_ver,is_outlier,pplib_version,time_offset,deviceuuid,comment,pkg_name,end_time,datauuid
63050351,2025-10-28 04:08:00.000,,8c22f354-5a89-4ea0-b32e-0d8688a7095b.binning_data.json,63050351,11.419391,0.0,2025-10-28 10:14:13.551,2025-10-28 10:14:13.551,,0.0,,0,1.01.04,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-10-28 09:51:00.000,8c22f354-5a89-4ea0-b32e-0d8688a7095b,
63050351,2025-10-29 00:31:00.000,,f90a6bfd-2959-4f6e-acea-01a9a7626935.binning_data.json,63050351,11.417277,0.0,2025-10-29 04:49:10.838,2025-10-29 04:49:10.838,,0.0,,0,1.01.04,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-10-29 04:49:00.000,f90a6bfd-2959-4f6e-acea-01a9a7626935,
63050351,2025-10-29 04:53:00.000,,cbc8b156-5366-45cc-a46f-90a607c8c4b3.binning_data.json,63050351,11.119629,0.0,2025-10-29 09:57:38.027,2025-10-29 09:57:38.027,,0.0,,0,1.01.04,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-10-29 09:57:00.000,cbc8b156-5366-45cc-a46f-90a607c8c4b3,
63060051,2025-10-30 03:49:00.000,,38827724-7617-4c2e-8409-04994e615bcb.binning_data.json,63060051,11.728378,11.1591425,2025-10-30 09:30:06.021,2025-10-30 09:30:06.021,,11.697555,,1,1.01.04,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-10-30 09:30:00.000,38827724-7617-4c2e-8409-04994e615bcb,
63060051,2025-10-31 03:13:00.000,,260695fd-b5f1-4442-926d-eccd5f582f59.binning_data.json,63060051,10.9438715,10.968244,2025-10-31 08:42:39.139,2025-10-31 08:42:39.139,,11.475888,,1,1.01.04,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-10-31 08:12:00.000,260695fd-b5f1-4442-926d-eccd5f582f59,
63060051,2025-11-01 03:32:00.000,,0d1e253c-7f27-4381-95af-23579c702806.binning_data.json,63060051,10.969747,10.992864,2025-11-01 08:27:17.407,2025-11-01 08:27:17.407,,11.478461,,1,1.01.04,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-11-01 08:04:00.000,0d1e253c-7f27-4381-95af-23579c702806,
63060051,2025-11-01 08:28:00.000,,d3875143-96be-48ab-9733-0e5222cf2873.binning_data.json,63060051,11.665971,11.129027,2025-11-01 11:28:00.394,2025-11-01 11:28:00.394,,11.619311,,1,1.01.04,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-11-01 11:04:00.000,d3875143-96be-48ab-9733-0e5222cf2873,
63060051,2025-11-02 03:24:00.000,,632d7193-6e51-48a6-bbad-72ea57bdbc4c.binning_data.json,63060051,11.709853,11.131546,2025-11-02 07:05:19.877,2025-11-02 07:05:19.877,,11.656311,,1,1.01.04,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-11-02 06:40:00.000,632d7193-6e51-48a6-bbad-72ea57bdbc4c,
63060051,2025-11-02 07:58:00.000,,63fa4227-fc9d-4e98-95cf-96bcee369b63.binning_data.json,63060051,10.928345,10.994678,2025-11-02 10:54:07.139,2025-11-02 10:54:07.139,,11.524611,,1,1.01.04,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-11-02 10:31:00.000,63fa4227-fc9d-4e98-95cf-96bcee369b63,
63060051,2025-11-03 01:39:00.000,,d1311ad1-cce6-414d-a855-cff14d208384.binning_data.json,63060051,10.809785,10.818513,2025-11-03 09:58:17.907,2025-11-03 09:58:17.907,,11.461305,,1,1.01.04,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-11-03 09:36:00.000,d1311ad1-cce6-414d-a855-cff14d208384,
63060051,2025-11-04 04:44:00.000,,8383e232-3c8c-4663-9396-a4a09925ed5f.binning_data.json,63060051,12.7428,10.618565,2025-11-04 06:29:41.060,2025-11-04 06:29:41.060,,12.285664,,1,1.01.04,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-11-04 05:59:00.000,8383e232-3c8c-4663-9396-a4a09925ed5f,
63060051,2025-11-04 06:29:00.000,,78db0e05-3556-4cb1-addd-69d9f38cd585.binning_data.json,63060051,11.650065,11.154881,2025-11-04 10:46:40.125,2025-11-04 10:46:40.125,,11.626389,,1,1.01.04,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-11-04 10:24:00.000,78db0e05-3556-4cb1-addd-69d9f38cd585,
63060051,2025-11-05 02:38:00.000,,fe5f2abf-2810-4128-9a5b-c185f342fdb1.binning_data.json,63060051,11.430436,11.186193,2025-11-05 08:27:23.371,2025-11-05 08:27:23.371,,11.5142765,,0,1.01.04,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-11-05 07:58:00.000,fe5f2abf-2810-4128-9a5b-c185f342fdb1,
63060051,2025-11-06 04:43:00.000,,19325c27-c43d-453d-8ca6-6363e3d5fdeb.binning_data.json,63060051,11.6111765,11.196444,2025-11-06 09:13:18.682,2025-11-06 09:13:18.682,,11.59166,,1,1.01.04,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-11-06 09:13:00.000,19325c27-c43d-453d-8ca6-6363e3d5fdeb,
63060051,2025-11-07 03:46:00.000,,28fb940a-e1f4-4bf5-92fa-346137f80eff.binning_data.json,63060051,11.707169,11.11838,2025-11-07 04:57:33.451,2025-11-07 04:57:33.451,,11.604675,,1,1.01.04,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-11-07 04:57:00.000,28fb940a-e1f4-4bf5-92fa-346137f80eff,
