com.samsung.shealth.badge,6307003,1
number_of_streak,start_time,exercise_type,device_type,status,sleep_coaching_session_uuid,update_time,create_time,source_pkg_name,key,program_id,is_shown,time_offset,extra_data,deviceuuid,pkg_name,exercise_data_uuid,controller_id,end_time,datauuid
,2023-09-18 03:00:00.000,,10009,1,,2023-09-18 15:35:02.900,2023-09-18 15:35:02.900,com.sec.android.app.shealth,step_milestone_10k_steps,,,UTC-0300,7848.0399954319,R5wtjjS0Fd,com.sec.android.app.shealth,,tracker.pedometer,2023-09-18 03:00:00.000,0a700fe7-5fba-470a-88b6-062ceab572e9,
,2025-10-27 20:16:11.973,0,,1,,2025-10-28 00:04:24.138,2025-10-28 00:04:24.138,,exercise_goal_first_achieve,,,UTC-0300,,tWUO8ZL77Z,com.sec.android.app.shealth,360e9dda-43dd-4dd5-9414-be6f6e6f3cab,tracker.exercise,2025-10-28 00:04:23.942,67a5c2ea-de4d-44eb-8091-eb167771a5fb,
1,2025-10-28 03:00:00.000,,,1,,2025-10-28 10:14:28.233,2025-10-28 10:14:28.233,,sleep_goal_first_sleep,,,UTC-0300,,R5wtjjS0Fd,com.sec.android.app.shealth,,Sleep.Goal,2025-10-29 02:59:59.999,c6b24b02-3ca0-4ded-a45e-1125b747ad9e,
,2025-10-28 00:00:00.000,,,1,,2025-10-28 10:14:29.326,2025-10-28 10:14:29.326,,vitality_first_measure,,,UTC+0000,,R5wtjjS0Fd,com.sec.android.app.shealth,,tracker.vitality,2025-10-28 00:00:00.000,81e4728c-8c69-432f-b54a-0a81ce4e0b06,
1,2025-10-29 03:00:00.000,,,1,,2025-10-29 09:57:51.919,2025-10-29 09:57:51.919,,sleep_excellent_sleep,,,UTC-0300,,R5wtjjS0Fd,com.sec.android.app.shealth,,Sleep.Goal,2025-10-30 02:59:59.999,88cef6d6-5e6a-486a-9370-016167e93523,
,2025-10-30 00:00:00.000,,,1,,2025-10-30 09:30:28.016,2025-10-30 09:30:28.016,,vitality_good,,,UTC+0000,,R5wtjjS0Fd,com.sec.android.app.shealth,,tracker.vitality,2025-10-30 00:00:00.000,9aa85ddb-7a2a-4fdf-8847-885ea67a820a,
4,2025-11-16 10:46:03.026,15002,,1,,2025-11-16 10:46:26.469,2025-10-28 00:04:31.837,,exercise_one_month_streak,,,UTC-0300,,tWUO8ZL77Z,com.samsung.android.wear.shealth,bf2869c7-15d4-4730-b8fa-66bee386af4b,tracker.exercise,2025-11-16 10:46:26.308,890edf23-8566-444e-9dab-4651632f7c10,
1,2025-11-01 03:00:00.000,,,1,,2025-11-01 11:40:34.788,2025-11-01 11:40:34.788,,sleep_good_sleep,,,UTC-0300,,R5wtjjS0Fd,com.sec.android.app.shealth,,Sleep.Goal,2025-11-02 02:59:59.999,519b4713-6f7b-453c-8c9a-0fcd768f6801,
1,2025-11-03 03:00:00.000,,,1,,2025-11-03 09:58:30.939,2025-11-03 09:58:30.939,,sleep_excellent_sleep,,,UTC-0300,,R5wtjjS0Fd,com.sec.android.app.shealth,,Sleep.Goal,2025-11-04 02:59:59.999,1619075b-7160-4c9a-b978-4347dade2488,
826,2025-12-09 14:09:30.009,1002,,2,,2025-12-09 14:09:36.080,2025-11-06 16:02:45.458,,running_100K_accumulated,,,UTC-0300,,R5wtjjS0Fd,com.sec.android.app.shealth,09376011-9a7b-490b-ba0c-744b4ae872d8,tracker.exercise,2025-12-09 14:09:36.009,ab8ebbe6-6c28-407d-85ea-5ded3e9a6949,
,2025-11-07 04:57:32.104,15002,,1,,2025-11-07 14:33:56.904,2025-11-07 14:33:56.904,,exercise_goal_first_achieve,,,UTC-0300,,tWUO8ZL77Z,com.sec.android.app.shealth,69e12ea9-a7e6-4545-a30b-c4219014d967,tracker.exercise,2025-11-07 14:33:55.355,b4f8353e-6702-4f2d-a3e7-7aef6a6b7faa,
0,1970-01-01 00:00:00.000,,,0,,2026-01-14 04:21:44.671,2025-11-10 10:08:45.408,,sleep_3_days_streak,,,UTC-0300,"1768445999999,1",R5wtjjS0Fd,com.sec.android.app.shealth,,Sleep.Goal,2026-01-15 02:59:59.999,4589fdd5-424b-4118-9a72-642a958bbad6,
7,2025-11-03 03:00:00.000,,,1,,2025-11-11 03:54:15.110,2025-11-10 04:52:25.169,,step_streak_1_week_streak,,,UTC-0300,,R5wtjjS0Fd,com.sec.android.app.shealth,,tracker.pedometer,2025-11-10 02:59:59.999,bf9efa06-26c8-4109-8e6f-5e63862926ed,
14,2025-11-03 03:00:00.000,,,1,,2025-11-16 18:01:25.831,2025-11-11 03:54:15.137,,step_streak_2_week_streak,,,UTC-0300,,tWUO8ZL77Z,com.sec.android.app.shealth,,tracker.pedometer,2025-11-17 02:59:59.999,f112292e-cb2c-40fd-b083-5cb5c73c122d,
