com.samsung.shealth.preferences,6307003,2
text_value,service_id,float_value,update_time,create_time,long_value,tag,blob_value,int_value,deviceuuid,pkg_name,double_value,datauuid
,,,2025-11-03 15:40:54.006,2025-11-03 12:57:52.344,,,,1,R5wtjjS0Fd,com.sec.android.app.shealth,,settings.marketing_agreement,
,,,2025-11-03 15:40:53.991,2025-11-03 12:57:52.315,,,,1,R5wtjjS0Fd,com.sec.android.app.shealth,,oobe.sensitive_data_agreement,
,,,2025-11-03 15:40:54.011,2025-11-03 12:57:52.335,,,,1,R5wtjjS0Fd,com.sec.android.app.shealth,,settings.personalization_agreement,
,tracker.exercise,,2022-09-25 00:28:46.395,2022-09-25 00:28:46.395,,,34-favorite_list.blob_value.json,,R5wtjjS0Fd,com.sec.android.app.shealth,,34-favorite_list,
,tracker.exercise,,2022-09-25 00:28:46.396,2022-09-25 00:28:46.396,,,34-workout_list.blob_value.json,,R5wtjjS0Fd,com.sec.android.app.shealth,,34-workout_list,
,,,2025-11-03 12:57:40.113,2025-11-03 12:57:52.322,,,,1,Yrp2M34ZOI,com.sec.android.app.shealth,,settings.location_agreement,
,,,2022-09-25 00:29:18.293,2022-09-25 00:28:49.947,,,,1,R5wtjjS0Fd,com.sec.android.app.shealth,,together.setting_gc_invitation,
,,,2022-09-25 00:29:18.295,2022-09-25 00:28:49.948,,,,0,R5wtjjS0Fd,com.sec.android.app.shealth,,together.setting_exposure_level,
,,,2022-09-25 00:29:18.296,2022-09-25 00:28:49.951,,,,0,R5wtjjS0Fd,com.sec.android.app.shealth,,together.setting_ld_auto_addition,
,,,2026-02-06 13:28:37.081,2022-09-25 00:40:41.190,,,,1,R5wtjjS0Fd,com.sec.android.app.shealth,,step.detectworkout_switch,
,tracker.exercise,,2026-02-01 13:38:47.568,2023-07-23 17:13:08.886,,,34-favorite_list2.blob_value.json,,R5wtjjS0Fd,com.sec.android.app.shealth,,34-favorite_list2,
,tracker.exercise,,2026-02-01 13:38:47.566,2023-07-23 17:13:08.903,,,34-workout_list2.blob_value.json,,R5wtjjS0Fd,com.sec.android.app.shealth,,34-workout_list2,
,tracker.sleep,,2025-12-14 22:52:39.850,2025-11-03 12:58:41.522,,,,1,R5wtjjS0Fd,com.sec.android.app.shealth,,06-snore_setting_new,
0,tracker.exercise,,2025-11-03 12:58:41.394,2025-11-03 12:58:41.542,,,,,Yrp2M34ZOI,com.sec.android.app.shealth,,34-badges.DB.update,
,,,2025-11-03 12:57:40.110,2025-11-03 12:57:52.336,,,,1,Yrp2M34ZOI,com.sec.android.app.shealth,,oobe.sensitive_data_available,
,,,2025-11-03 12:57:40.112,2025-11-03 12:57:52.320,,,,1,Yrp2M34ZOI,com.sec.android.app.shealth,,oobe.shd_access_authority_status,
,,,2026-02-06 12:15:13.162,2025-11-03 12:58:41.221,1761955199999,,,,Yrp2M34ZOI,com.sec.android.app.shealth,,shealth.6.29.upgrade.date,
,tracker.exercise,,2025-11-03 12:58:41.409,2025-11-03 12:58:41.543,,,,0,Yrp2M34ZOI,com.sec.android.app.shealth,,34-cumulative.values.reset,
,tracker.sleep,,2025-11-03 12:58:41.338,2025-11-03 12:58:41.524,,,,0,Yrp2M34ZOI,com.sec.android.app.shealth,,06-snore.setting.option_new,
mh7uo1wt_cf,tracker.exercise,,2025-11-03 12:59:11.281,2025-11-03 12:58:41.667,,,,,Yrp2M34ZOI,com.sec.android.app.shealth,,34-exercise.periodization.active.id,
