com.samsung.shealth.step_daily_trend,6307003,6
binning_data,update_time,create_time,source_pkg_name,source_type,count,speed,distance,calorie,deviceuuid,pkg_name,datauuid,day_time
ce394e3d-234c-41a7-8e09-649933b5a478.binning_data.json,2022-09-27 19:15:02.597,2022-09-27 16:35:02.226,com.sec.android.app.shealth,-2,371,1.1060202,270.83,14.04,VfS0qUERdZ,com.sec.android.app.shealth,ce394e3d-234c-41a7-8e09-649933b5a478,1664236800000,
c8e159e6-97cd-4988-bc97-246d86ad7fbc.binning_data.json,2022-09-28 04:43:33.625,2022-09-28 04:43:33.625,com.sec.android.app.shealth,0,371,1.1060202,270.83,14.04,R5wtjjS0Fd,com.sec.android.app.shealth,c8e159e6-97cd-4988-bc97-246d86ad7fbc,1664236800000,
70f00c12-071a-4910-a85f-20c2c98ea243.binning_data.json,2022-09-28 20:22:17.467,2022-09-28 08:11:07.946,com.sec.android.app.shealth,-2,1009,1.1764303,746.13,38.23,VfS0qUERdZ,com.sec.android.app.shealth,70f00c12-071a-4910-a85f-20c2c98ea243,1664323200000,
433cffa3-e66b-4dac-b490-67851557f883.binning_data.json,2022-09-29 03:12:47.349,2022-09-29 03:12:47.349,com.sec.android.app.shealth,0,1009,1.1764303,746.13,38.23,R5wtjjS0Fd,com.sec.android.app.shealth,433cffa3-e66b-4dac-b490-67851557f883,1664323200000,
982bab09-70df-43d2-afd4-21a5141e1cc3.binning_data.json,2022-09-29 19:13:21.885,2022-09-29 12:35:09.247,com.sec.android.app.shealth,-2,2473,1.2671884,1851.91,94.51,VfS0qUERdZ,com.sec.android.app.shealth,982bab09-70df-43d2-afd4-21a5141e1cc3,1664409600000,
64557f10-97d5-4e24-8404-a1bf7d3c265c.binning_data.json,2022-09-30 04:20:08.105,2022-09-30 04:20:08.105,com.sec.android.app.shealth,0,2473,1.2671884,1851.91,94.51,R5wtjjS0Fd,com.sec.android.app.shealth,64557f10-97d5-4e24-8404-a1bf7d3c265c,1664409600000,
ca5164c4-36d1-48f5-bfc8-294656cbae41.binning_data.json,2022-09-30 15:15:01.191,2022-09-30 13:40:14.830,com.sec.android.app.shealth,-2,1602,1.2434311,1194.0,62.48,VfS0qUERdZ,com.sec.android.app.shealth,ca5164c4-36d1-48f5-bfc8-294656cbae41,1664496000000,
e61d01b6-9bec-48d1-b583-aa948d622b93.binning_data.json,2022-10-01 03:00:01.782,2022-10-01 03:00:01.782,com.sec.android.app.shealth,0,1602,1.2434311,1194.0,62.48,R5wtjjS0Fd,com.sec.android.app.shealth,e61d01b6-9bec-48d1-b583-aa948d622b93,1664496000000,
418dc037-2060-4eee-ad1d-028e8d1690e4.binning_data.json,2022-10-01 19:55:02.798,2022-10-01 11:35:01.839,com.sec.android.app.shealth,-2,1703,1.3061703,1280.46,61.04,VfS0qUERdZ,com.sec.android.app.shealth,418dc037-2060-4eee-ad1d-028e8d1690e4,1664582400000,
7d8c58df-cc17-4ba8-8d13-22a02c554e50.binning_data.json,2022-10-02 03:51:28.018,2022-10-02 03:51:28.018,com.sec.android.app.shealth,0,1703,1.3061703,1280.46,61.04,R5wtjjS0Fd,com.sec.android.app.shealth,7d8c58df-cc17-4ba8-8d13-22a02c554e50,1664582400000,
b7a346ab-ed4e-4647-a002-c2846084dddb.binning_data.json,2022-10-03 01:55:01.899,2022-10-02 18:35:01.871,com.sec.android.app.shealth,-2,215,1.2224259,159.59999,7.8399987,VfS0qUERdZ,com.sec.android.app.shealth,b7a346ab-ed4e-4647-a002-c2846084dddb,1664668800000,
8a29bf1a-3e68-44eb-a137-3665a7b18875.binning_data.json,2022-10-03 03:00:01.281,2022-10-03 03:00:01.281,com.sec.android.app.shealth,0,215,1.2224259,159.59999,7.8399987,R5wtjjS0Fd,com.sec.android.app.shealth,8a29bf1a-3e68-44eb-a137-3665a7b18875,1664668800000,
6a392ea5-eb83-4985-9387-51e430e5f23b.binning_data.json,2022-10-03 18:23:06.967,2022-10-03 12:25:03.067,com.sec.android.app.shealth,-2,4780,1.3589067,3597.4,171.0,VfS0qUERdZ,com.sec.android.app.shealth,6a392ea5-eb83-4985-9387-51e430e5f23b,1664755200000,
3c36705f-0c4f-4b5a-aac3-485aeb976b0c.binning_data.json,2022-10-04 03:24:04.783,2022-10-04 03:24:04.783,com.sec.android.app.shealth,0,4780,1.3589067,3597.4,171.0,R5wtjjS0Fd,com.sec.android.app.shealth,3c36705f-0c4f-4b5a-aac3-485aeb976b0c,1664755200000,
618741e3-982a-4e60-8e5a-3a27c5404881.binning_data.json,2022-10-05 00:15:02.067,2022-10-04 12:46:50.926,com.sec.android.app.shealth,-2,7976,1.3617343,6049.38,289.5,VfS0qUERdZ,com.sec.android.app.shealth,618741e3-982a-4e60-8e5a-3a27c5404881,1664841600000,
e2040770-ce2b-45d1-9a2d-9a07b4ef9468.binning_data.json,2022-10-05 03:00:01.216,2022-10-05 03:00:01.216,com.sec.android.app.shealth,0,7976,1.3617343,6049.38,289.5,R5wtjjS0Fd,com.sec.android.app.shealth,e2040770-ce2b-45d1-9a2d-9a07b4ef9468,1664841600000,
a4e89e65-af98-46b1-a684-b746914daf48.binning_data.json,2022-10-05 18:56:31.462,2022-10-05 16:44:23.373,com.sec.android.app.shealth,-2,2740,1.3082267,2043.22,104.03,VfS0qUERdZ,com.sec.android.app.shealth,a4e89e65-af98-46b1-a684-b746914daf48,1664928000000,
5b2fbd65-6e80-4480-be20-66c9cbaa2640.binning_data.json,2022-10-06 03:37:37.734,2022-10-06 03:37:37.734,com.sec.android.app.shealth,0,2740,1.3082267,2043.22,104.03,R5wtjjS0Fd,com.sec.android.app.shealth,5b2fbd65-6e80-4480-be20-66c9cbaa2640,1664928000000,
c2160b51-1860-42fc-befd-3129e5e99b4f.binning_data.json,2022-10-06 22:57:02.564,2022-10-06 10:15:01.961,com.sec.android.app.shealth,-2,2922,1.2912332,2186.82,108.4,VfS0qUERdZ,com.sec.android.app.shealth,c2160b51-1860-42fc-befd-3129e5e99b4f,1665014400000,
18afc765-b4af-4db6-952d-127cc8101041.binning_data.json,2022-10-07 03:19:34.284,2022-10-07 03:19:34.284,com.sec.android.app.shealth,0,2922,1.2912332,2186.82,108.4,R5wtjjS0Fd,com.sec.android.app.shealth,18afc765-b4af-4db6-952d-127cc8101041,1665014400000,
fc901ac2-13b6-41f5-b67f-f2819050e9b5.binning_data.json,2022-10-07 23:56:08.642,2022-10-07 11:15:31.308,com.sec.android.app.shealth,-2,3493,1.2581111,2563.5,135.48,VfS0qUERdZ,com.sec.android.app.shealth,fc901ac2-13b6-41f5-b67f-f2819050e9b5,1665100800000,
118dd05a-85a7-4f7c-9553-5572930a39d8.binning_data.json,2022-10-08 03:00:03.150,2022-10-08 03:00:03.150,com.sec.android.app.shealth,0,3493,1.2581111,2563.5,135.48,R5wtjjS0Fd,com.sec.android.app.shealth,118dd05a-85a7-4f7c-9553-5572930a39d8,1665100800000,
623687b7-5bd3-4539-91c2-58deda157a1a.binning_data.json,2022-10-09 00:31:22.319,2022-10-08 10:35:02.271,com.sec.android.app.shealth,-2,1592,1.2810266,1197.5599,58.61,VfS0qUERdZ,com.sec.android.app.shealth,623687b7-5bd3-4539-91c2-58deda157a1a,1665187200000,
79b2eedc-8bc7-4118-b52a-0befe0127755.binning_data.json,2022-10-09 03:01:11.107,2022-10-09 03:01:11.107,com.sec.android.app.shealth,0,1592,1.2810266,1197.5599,58.61,R5wtjjS0Fd,com.sec.android.app.shealth,79b2eedc-8bc7-4118-b52a-0befe0127755,1665187200000,
3f1fd2e7-db16-44c3-ba14-7def2e4314ac.binning_data.json,2022-10-09 23:55:02.511,2022-10-09 09:51:48.915,com.sec.android.app.shealth,-2,1646,1.1228384,1204.0599,63.35,VfS0qUERdZ,com.sec.android.app.shealth,3f1fd2e7-db16-44c3-ba14-7def2e4314ac,1665273600000,
43064747-161e-4c59-b801-efa979132bf5.binning_data.json,2022-10-10 03:00:03.356,2022-10-10 03:00:03.356,com.sec.android.app.shealth,0,1646,1.1228384,1204.0599,63.35,R5wtjjS0Fd,com.sec.android.app.shealth,43064747-161e-4c59-b801-efa979132bf5,1665273600000,
