com.samsung.shealth.tracker.pedometer_step_count,6307003,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
9966,4,0,16,2026-01-03 10:04:00.000,,,2026-01-03 10:05:03.982,2026-01-03 10:05:03.982,16,1.0555556,10.52,0.53,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2026-01-03 10:05:00.000,002ed8af-bcd7-41ce-9749-89545642104e,
12564,4,0,22,2026-01-03 10:13:00.000,,,2026-01-03 10:14:59.834,2026-01-03 10:13:04.415,22,1.1739255,14.75,0.72,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2026-01-03 10:14:00.000,2dc98ef0-0cda-4375-a90b-00cd8d303f38,
7408,4,0,12,2026-01-03 10:16:00.000,,,2026-01-03 10:26:09.601,2026-01-03 10:26:09.601,12,1.0555556,7.82,0.39,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2026-01-03 10:17:00.000,fd551059-2651-4690-b098-b4a7808181e8,
19993,4,0,32,2026-01-03 10:17:00.000,,,2026-01-03 10:26:09.752,2026-01-03 10:26:09.752,32,1.0833334,21.66,1.54,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2026-01-03 10:18:00.000,93a06131-0c42-4410-9ca1-0541fe44694c,
7855,4,0,10,2026-01-03 10:23:00.000,,,2026-01-03 10:26:09.824,2026-01-03 10:26:09.824,10,0.7777778,6.11,0.45,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2026-01-03 10:24:00.000,d45097de-c1ff-418d-a003-1c7e4f129786,
8883,4,0,14,2026-01-03 10:38:00.000,,,2026-01-03 10:38:26.744,2026-01-03 10:38:26.744,14,1.0277778,9.13,0.46,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2026-01-03 10:39:00.000,77066cdb-a6b2-465b-b254-dcc3c2cf3ffb,
4723,4,0,13,2026-01-03 10:42:00.000,,,2026-01-03 10:42:56.866,2026-01-03 10:42:56.866,13,2.2777777,10.76,0.33,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2026-01-03 10:43:00.000,83a0bd7d-9da3-4e8d-939b-21712bc408ce,
17604,4,0,27,2026-01-03 10:45:00.000,,,2026-01-03 10:47:19.950,2026-01-03 10:45:47.664,27,1.0099914,17.779999,0.90999997,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2026-01-03 10:46:00.000,84528436-5443-46b4-a811-ac3da9388cf0,
7869,4,0,14,2026-01-03 10:46:00.000,,,2026-01-03 10:47:20.084,2026-01-03 10:47:20.084,14,1.1944444,9.4,0.48,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2026-01-03 10:47:00.000,46ea4d95-ab7e-460e-b3a8-b55d85899ae0,
22456,4,0,36,2026-01-03 10:48:00.000,,,2026-01-03 10:50:07.127,2026-01-03 10:50:07.127,36,1.0277777,23.08,1.21,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2026-01-03 10:49:00.000,8659059f-ea44-4ecc-abda-88ba35bb92a3,
